Number 1,Dataset,Pnumber,Cellline,Rawfile,Name,PX Accession,intrument,,00523_D02_P003815_B0L_A00_R1.RAW,PXD005940
756,full proteome of 59 cell lines,P003383,OVCAR-8,00471_C01_P003383_B00C_A00_R1.RAW,OVCAR-8/ADR cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00463_F05_P003357_B00B_A00_R1.RAW,PXD005946
757,full proteome of 59 cell lines,P003383,OVCAR-8,00471_E01_P003383_B00E_A00_R1.RAW,OVCAR-8/ADR cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00463_E04_P003358_B00E_A00_R1.RAW,PXD005946
758,full proteome of 59 cell lines,P003383,OVCAR-8,00471_B02_P003383_B00J_A00_R1.RAW,OVCAR-8/ADR cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00256_E02_P001569_B00A_A00_R2.RAW,PXD005946
759,full proteome of 59 cell lines,P003383,OVCAR-8,00471_D01_P003383_B00D_A00_R1.RAW,OVCAR-8/ADR cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00524_B05_P003820_B00J_A00_R1.RAW,PXD005946
760,full proteome of 59 cell lines,P003383,OVCAR-8,00471_H01_P003383_B00H_A00_R1.RAW,OVCAR-8/ADR cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000279_C05_P001744_A00_B00K_R1.RAW,PXD005946
761,full proteome of 59 cell lines,P003383,OVCAR-8,00471_F01_P003383_B00F_A00_R1.RAW,OVCAR-8/ADR cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000228_D04_P001358_B00D_A00_R1.RAW,PXD005946
762,full proteome of 59 cell lines,P003383,OVCAR-8,00471_D02_P003383_B00L_A00_R1.RAW,OVCAR-8/ADR cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00287_C07_P001747_B00C_A00_R1.RAW,PXD005946
763,full proteome of 59 cell lines,P003383,OVCAR-8,00471_A02_P003383_B00I_A00_R1.RAW,OVCAR-8/ADR cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00297_A01_P001888_B00A_A00_R1.RAW,PXD005946
764,full proteome of 59 cell lines,P003383,OVCAR-8,00471_C02_P003383_B00K_A00_R1.RAW,OVCAR-8/ADR cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000228_D02_P001360_B00L_A00_R1.RAW,PXD005946
765,full proteome of 59 cell lines,P003383,OVCAR-8,00471_A01_P003383_B00A_A00_R1.RAW,OVCAR-8/ADR cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000228_C07_P001356_B00C_A00_R1.RAW,PXD005946
766,full proteome of 59 cell lines,P003383,OVCAR-8,00471_B01_P003383_B00B_A00_R1.RAW,OVCAR-8/ADR cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00463_A04_P003358_B00A_A00_R1.RAW,PXD005946
767,full proteome of 59 cell lines,P003383,OVCAR-8,00471_G01_P003383_B00G_A00_R2.RAW,OVCAR-8/ADR cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00297_C02_P001888_B00K_A00_R1.RAW,PXD005946
768,full proteome of 59 cell lines,P003487,PC-3,00483_H01_P003487_B00H_A00_R2.RAW,PC-3 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00297_E05_P001891_B00A_A00_R2.RAW,PXD005946
769,full proteome of 59 cell lines,P003487,PC-3,00483_A01_P003487_B00A_A00_R2.RAW,PC-3 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000297_C08_P001892_A00_B00K_R1.RAW,PXD005946
770,full proteome of 59 cell lines,P003487,PC-3,00483_F01_P003487_B00F_A00_R1.RAW,PC-3 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000234_G08_P001387_B00L_A00_R1.RAW,PXD005946
771,full proteome of 59 cell lines,P003487,PC-3,00483_G01_P003487_B00G_A00_R2.RAW,PC-3 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00442_F05_P003206_B00B_A00_R1.RAW,PXD005946
772,full proteome of 59 cell lines,P003487,PC-3,00483_C02_P003487_B00K_A00_R2.RAW,PC-3 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000234_H06_P001388_B00I_A00_R1.RAW,PXD005946
773,full proteome of 59 cell lines,P003487,PC-3,00483_E01_P003487_B00E_A00_R2.RAW,PC-3 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000287_E05_P001748_B00A_A00_R1.RAW,PXD005946
774,full proteome of 59 cell lines,P003487,PC-3,00483_D01_P003487_B00D_A00_R1.RAW,PC-3 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00296_D02_P001904_B00L_A00_R1.RAW,PXD005946
775,full proteome of 59 cell lines,P003487,PC-3,00483_D02_P003487_B00L_A00_R2.RAW,PC-3 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00297_B06_P001891_B00F_A00_R1.RAW,PXD005946
776,full proteome of 59 cell lines,P003487,PC-3,00483_B02_P003487_B00J_A00_R2.RAW,PC-3 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00463_H02_P003359_B00D_A00_R1.RAW,PXD005946
777,full proteome of 59 cell lines,P003487,PC-3,00483_B01_P003487_B00B_A00_R2.RAW,PC-3 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000228_F07_P001356_B00F_A00_R1.RAW,PXD005946
778,full proteome of 59 cell lines,P003487,PC-3,00483_A02_P003487_B00I_A00_R2.RAW,PC-3 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00256_D06_P001567_B00H_A00_R1.RAW,PXD005946
779,full proteome of 59 cell lines,P003487,PC-3,00483_C01_P003487_B00C_A00_R2.RAW,PC-3 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000234_A08_P001387_B00F_A00_R1.RAW,PXD005946
780,deep proteome of 9 cell lines,P003811,,00522_G03_P003811_B0W_A00_R1.RAW,Colo-205 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00442_D01_P003203_B00D_A00_R1.RAW,PXD005946
781,deep proteome of 9 cell lines,P003811,,00522_B03_P003811_B0R_A00_R1.RAW,Colo-205 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00298_C03_P001897_B00G_A00_R1.RAW,PXD005946
782,deep proteome of 9 cell lines,P003811,,00522_F03_P003811_B0V_A00_R1.RAW,Colo-205 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00287_C05_P001749_B00K_A00_R1.RAW,PXD005946
783,deep proteome of 9 cell lines,P003811,,00522_B01_P003811_B0B_A00_R1.RAW,Colo-205 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00471_C01_P003383_B00C_A00_R1.RAW,PXD005946
784,deep proteome of 9 cell lines,P003811,,00522_H01_P003811_B0H_A00_R1.RAW,Colo-205 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00298_D12_P001903_B00H_A00_R1.RAW,PXD005946
785,deep proteome of 9 cell lines,P003811,,00522_H02_P003811_B0P_A00_R1.RAW,Colo-205 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,000234_B09_P001386_B00C_A00_R1.RAW,PXD005946
786,deep proteome of 9 cell lines,P003811,,00522_E02_P003811_B0M_A00_R1.RAW,Colo-205 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,000228_G04_P001358_B00G_A00_R1.RAW,PXD005946
787,deep proteome of 9 cell lines,P003811,,00522_G01_P003811_B0G_A00_R1.RAW,Colo-205 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00442_H07_P003208_B00D_A00_R1.RAW,PXD005946
788,deep proteome of 9 cell lines,P003811,,00522_C03_P003811_B0S_A00_R1.RAW,Colo-205 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00471_A01_P003383_B00A_A00_R1.RAW,PXD005946
789,deep proteome of 9 cell lines,P003811,,00522_D01_P003811_B0D_A00_R1.RAW,Colo-205 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,000287_B01_P0001751_A00_B00B_R1.RAW,PXD005946
790,deep proteome of 9 cell lines,P003811,,00522_D03_P003811_B0T_A00_R1.RAW,Colo-205 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,000228_E06_P001357_B00I_A00_R1.RAW,PXD005946
791,deep proteome of 9 cell lines,P003811,,00522_H03_P003811_B0X_A00_R1.RAW,Colo-205 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00279_G03_P001745_B00K_A00_R1.RAW,PXD005946
792,deep proteome of 9 cell lines,P003811,,00522_E01_P003811_B0E_A00_R1.RAW,Colo-205 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,000228_E08_P001355_B00A_A00_R1.RAW,PXD005946
793,deep proteome of 9 cell lines,P003811,,00522_B02_P003811_B0J_A00_R1.RAW,Colo-205 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,000228_B08_P001356_B00J_A00_R1.RAW,PXD005946
794,deep proteome of 9 cell lines,P003811,,00522_A03_P003811_B0Q_A00_R1.RAW,Colo-205 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,000279_B05_P001744_A00_B00J_R1.RAW,PXD005946
795,deep proteome of 9 cell lines,P003811,,00522_A02_P003811_B0I_A00_R1.RAW,Colo-205 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00441_D10_P003201_B00D_A00_R1.RAW,PXD005946
796,deep proteome of 9 cell lines,P003811,,00522_F02_P003811_B0N_A00_R1.RAW,Colo-205 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00298_E11_P001903_B00A_A00_R1.RAW,PXD005946
797,deep proteome of 9 cell lines,P003811,,00522_G02_P003811_B0O_A00_R1.RAW,Colo-205 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00297_G01_P001888_B00G_A00_R1.RAW,PXD005946
798,deep proteome of 9 cell lines,P003811,,00522_E03_P003811_B0U_A00_R1.RAW,Colo-205 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00471_H01_P003383_B00H_A00_R1.RAW,PXD005946
799,deep proteome of 9 cell lines,P003811,,00522_C01_P003811_B0C_A00_R1.RAW,Colo-205 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00524_A05_P003820_B00I_A00_R1.RAW,PXD005946
800,deep proteome of 9 cell lines,P003811,,00522_C02_P003811_B0K_A00_R1.RAW,Colo-205 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00287_A05_P001749_B00I_A00_R1.RAW,PXD005946
801,deep proteome of 9 cell lines,P003811,,00522_F01_P003811_B0F_A00_R1.RAW,Colo-205 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00442_G02_P003204_B00C_A00_R1.RAW,PXD005946
802,deep proteome of 9 cell lines,P003811,,00522_D02_P003811_B0L_A00_R1.RAW,Colo-205 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00442_E06_P003206_B00I_A00_R1.RAW,PXD005946
803,deep proteome of 9 cell lines,P003811,,00522_A01_P003811_B0A_A00_R1.RAW,Colo-205 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,000228_A07_P001356_B00A_A00_R1.RAW,PXD005946
804,deep proteome of 9 cell lines,P003812,,00522_E04_P003812_B0E_A00_R1.RAW,RXF-393 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00442_E05_P003206_B00A_A00_R1.RAW,PXD005946
805,deep proteome of 9 cell lines,P003812,,00522_C04_P003812_B0C_A00_R1.RAW,RXF-393 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00261_H02_P001562_B00D_A00_R1.RAW,PXD005946
806,deep proteome of 9 cell lines,P003812,,00522_B05_P003812_B0J_A00_R1.RAW,RXF-393 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00441_H10_P003201_B00H_A00_R1.RAW,PXD005946
807,deep proteome of 9 cell lines,P003812,,00522_C06_P003812_B0S_A00_R1.RAW,RXF-393 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00463_H03_P003359_B00L_A00_R1.RAW,PXD005946
808,deep proteome of 9 cell lines,P003812,,00522_D06_P003812_B0T_A00_R1.RAW,RXF-393 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,000228_D07_P001356_B00D_A00_R1.RAW,PXD005946
809,deep proteome of 9 cell lines,P003812,,00522_E06_P003812_B0U_A00_R1.RAW,RXF-393 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00298_B06_P001899_B00F_A00_R1.RAW,PXD005946
810,deep proteome of 9 cell lines,P003812,,00522_H06_P003812_B0X_A00_R1.RAW,RXF-393 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00442_G05_P003206_B00C_A00_R2.RAW,PXD005946
811,deep proteome of 9 cell lines,P003812,,00522_G05_P003812_B0O_A00_R1.RAW,RXF-393 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00261_B06_P001564_B00F_A00_R1.RAW,PXD005946
812,deep proteome of 9 cell lines,P003812,,00522_F06_P003812_B0V_A00_R1.RAW,RXF-393 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00287_B05_P001749_B00J_A00_R1.RAW,PXD005946
813,deep proteome of 9 cell lines,P003812,,00522_A06_P003812_B0Q_A00_R1.RAW,RXF-393 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00298_G05_P001899_B00C_A00_R1.RAW,PXD005946
814,deep proteome of 9 cell lines,P003812,,00522_F04_P003812_B0F_A00_R1.RAW,RXF-393 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00256_B02_P001570_B00J_A00_R1.RAW,PXD005946
815,deep proteome of 9 cell lines,P003812,,00522_G06_P003812_B0W_A00_R1.RAW,RXF-393 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,000287_D06_P001748_B00H_A00_R1.RAW,PXD005946
816,deep proteome of 9 cell lines,P003812,,00522_B06_P003812_B0R_A00_R1.RAW,RXF-393 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00441_G03_P003196_B00K_A00_R1.RAW,PXD005946
817,deep proteome of 9 cell lines,P003812,,00522_D05_P003812_B0L_A00_R1.RAW,RXF-393 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00442_G04_P003205_B00G_A00_R1.RAW,PXD005946
818,deep proteome of 9 cell lines,P003812,,00522_A05_P003812_B0I_A00_R1.RAW,RXF-393 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00256_G01_P001570_B00G_A00_R1.RAW,PXD005946
819,deep proteome of 9 cell lines,P003812,,00522_D04_P003812_B0D_A00_R1.RAW,RXF-393 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00298_E12_P001903_B00I_A00_R1.RAW,PXD005946
820,deep proteome of 9 cell lines,P003812,,00522_F05_P003812_B0N_A00_R1.RAW,RXF-393 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00298_F11_P001903_B00B_A00_R1.RAW,PXD005946
821,deep proteome of 9 cell lines,P003812,,00522_B04_P003812_B0B_A00_R1.RAW,RXF-393 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00441_C03_P003196_B00G_A00_R1.RAW,PXD005946
822,deep proteome of 9 cell lines,P003812,,00522_C05_P003812_B0K_A00_R1.RAW,RXF-393 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00256_F01_P001570_B00F_A00_R1.RAW,PXD005946
823,deep proteome of 9 cell lines,P003812,,00522_G04_P003812_B0G_A00_R1.RAW,RXF-393 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00441_G02_P003196_B00C_A00_R1.RAW,PXD005946
824,deep proteome of 9 cell lines,P003812,,00522_H05_P003812_B0P_A00_R1.RAW,RXF-393 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,000228_E03_P001359_B00I_A00_R1.RAW,PXD005946
825,deep proteome of 9 cell lines,P003812,,00522_H04_P003812_B0H_A00_R1.RAW,RXF-393 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,000234_F05_P001389_B00K_A00_R1.RAW,PXD005946
826,deep proteome of 9 cell lines,P003812,,00522_E05_P003812_B0M_A00_R1.RAW,RXF-393 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,000234_A03_P001390_B00B_A00_R1.RAW,PXD005946
827,deep proteome of 9 cell lines,P003812,,00522_A04_P003812_B0A_A00_R1.RAW,RXF-393 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00463_E12_P003361_B00I_A00_R1.RAW,PXD005946
828,deep proteome of 9 cell lines,P003813,,00522_D09_P003813_B0T_A00_R1.RAW,PC-3 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,000228_A02_P001360_B00I_A00_R1.RAW,PXD005946
829,deep proteome of 9 cell lines,P003813,,00522_A09_P003813_B0Q_A00_R1.RAW,PC-3 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00287_D05_P001749_B00L_A00_R1.RAW,PXD005946
830,deep proteome of 9 cell lines,P003813,,00522_H07_P003813_B0H_A00_R1.RAW,PC-3 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00279_D03_P001745_B00H_A00_R1.RAW,PXD005946
831,deep proteome of 9 cell lines,P003813,,00522_E08_P003813_B0M_A00_R1.RAW,PC-3 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00261_B01_P001561_B00B_A00_R1.RAW,PXD005946
832,deep proteome of 9 cell lines,P003813,,00522_B07_P003813_B0B_A00_R1.RAW,PC-3 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,000228_D06_P001357_B00H_A00_R1.RAW,PXD005946
833,deep proteome of 9 cell lines,P003813,,00522_G07_P003813_B0G_A00_R1.RAW,PC-3 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00296_C02_P001904_B00K_A00_R1.RAW,PXD005946
834,deep proteome of 9 cell lines,P003813,,00522_H08_P003813_B0P_A00_R1.RAW,PC-3 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,000287_B06_P001748_B00F_A00_R1.RAW,PXD005946
835,deep proteome of 9 cell lines,P003813,,00522_A07_P003813_B0I_A00_R1.RAW,PC-3 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00463_A11_P003362_B00I_A00_R1.RAW,PXD005946
836,deep proteome of 9 cell lines,P003813,,00522_B08_P003813_B0J_A00_R1.RAW,PC-3 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,000228_E02_P001359_B00A_A00_R1.RAW,PXD005946
837,deep proteome of 9 cell lines,P003813,,00522_A07_P003813_B0A_A00_R1.RAW,PC-3 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00441_A10_P003201_B00A_A00_R1.RAW,PXD005946
838,deep proteome of 9 cell lines,P003813,,00522_G08_P003813_B0O_A00_R1.RAW,PC-3 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,000234_H09_P001386_B00I_A00_R1.RAW,PXD005946
839,deep proteome of 9 cell lines,P003813,,00522_C08_P003813_B0K_A00_R1.RAW,PC-3 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00442_E04_P003205_B00E_A00_R1.RAW,PXD005946
840,deep proteome of 9 cell lines,P003813,,00522_G09_P003813_B0W_A00_R1.RAW,PC-3 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00463_A05_P003358_B00I_A00_R1.RAW,PXD005946
841,deep proteome of 9 cell lines,P003813,,00522_F09_P003813_B0V_A00_R1.RAW,PC-3 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00261_H01_P001561_B00H_A00_R1.RAW,PXD005946
842,deep proteome of 9 cell lines,P003813,,00522_F08_P003813_B0N_A00_R1.RAW,PC-3 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00463_C11_P003362_B00K_A00_R1.RAW,PXD005946
843,deep proteome of 9 cell lines,P003813,,00522_D08_P003813_B0L_A00_R1.RAW,PC-3 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,000228_A03_P001359_B00E_A00_R1.RAW,PXD005946
844,deep proteome of 9 cell lines,P003813,,00522_H09_P003813_B0X_A00_R1.RAW,PC-3 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00287_G07_P001747_B00G_A00_R1.RAW,PXD005946
845,deep proteome of 9 cell lines,P003813,,00522_B09_P003813_B0R_A00_R1.RAW,PC-3 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,000234_E07_P001387_B00B_A00_R1.RAW,PXD005946
846,deep proteome of 9 cell lines,P003813,,00522_F07_P003813_B0F_A00_R1.RAW,PC-3 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00442_C01_P003203_B00C_A00_R1.RAW,PXD005946
847,deep proteome of 9 cell lines,P003813,,00522_D07_P003813_B0D_A00_R1.RAW,PC-3 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00297_C01_P001888_B00C_A00_R1.RAW,PXD005946
848,deep proteome of 9 cell lines,P003813,,00522_C07_P003813_B0C_A00_R1.RAW,PC-3 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00287_B08_P001747_B00J_A00_R1.RAW,PXD005946
849,deep proteome of 9 cell lines,P003813,,00522_C09_P003813_B0S_A00_R1.RAW,PC-3 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00287_H02_P001750_B00D_A00_R1.RAW,PXD005946
850,deep proteome of 9 cell lines,P003813,,00522_E07_P003813_B0E_A00_R1.RAW,PC-3 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00463_H07_P003364_B00H_A00_R1.RAW,PXD005946
851,deep proteome of 9 cell lines,P003813,,00522_E09_P003813_B0U_A00_R1.RAW,PC-3 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00287_C03_P001750_B00G_A00_R1.RAW,PXD005946
852,deep proteome of 9 cell lines,P003814,,00522_D12_P003814_B0T_A00_R1.RAW,NCI-H460 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,000279_G04_P001744_A00_B00G_R1.RAW,PXD005946
853,deep proteome of 9 cell lines,P003814,,00522_H10_P003814_B0H_A00_R1.RAW,NCI-H460 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,000228_G01_P001360_B00G_A00_R1.RAW,PXD005946
854,deep proteome of 9 cell lines,P003814,,00522_G10_P003814_B0G_A00_R1.RAW,NCI-H460 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00441_A11_P003201_B00I_A00_R1.RAW,PXD005946
855,deep proteome of 9 cell lines,P003814,,00522_C10_P003814_B0C_A00_R1.RAW,NCI-H460 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,000297_H07_P001892_A00_B00H_R1.RAW,PXD005946
856,deep proteome of 9 cell lines,P003814,,00522_B10_P003814_B0B_A00_R1.RAW,NCI-H460 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,000228_F04_P001358_B00F_A00_R1.RAW,PXD005946
857,deep proteome of 9 cell lines,P003814,,00522_A11_P003814_B0I_A00_R1.RAW,NCI-H460 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00442_H08_P003208_B00L_A00_R1.RAW,PXD005946
858,deep proteome of 9 cell lines,P003814,,00522_H12_P003814_B0X_A00_R1.RAW,NCI-H460 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00298_E06_P001899_B00I_A00_R1.RAW,PXD005946
859,deep proteome of 9 cell lines,P003814,,00522_F10_P003814_B0F_A00_R1.RAW,NCI-H460 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00256_H07_P001566_B00H_A00_R1.RAW,PXD005946
860,deep proteome of 9 cell lines,P003814,,00522_E11_P003814_B0M_A00_R1.RAW,NCI-H460 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00463_C09_P003363_B00G_A00_R1.RAW,PXD005946
861,deep proteome of 9 cell lines,P003814,,00522_B11_P003814_B0J_A00_R1.RAW,NCI-H460 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,000297_D07_P001892_A00_B00D_R1.RAW,PXD005946
862,deep proteome of 9 cell lines,P003814,,00522_G11_P003814_B0O_A00_R1.RAW,NCI-H460 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,000234_A05_P001389_B00F_A00_R1.RAW,PXD005946
863,deep proteome of 9 cell lines,P003814,,00522_C12_P003814_B0S_A00_R1.RAW,NCI-H460 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,000234_H07_P001387_B00E_A00_R1.RAW,PXD005946
864,deep proteome of 9 cell lines,P003814,,00522_F12_P003814_B0V_A00_R1.RAW,NCI-H460 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,000297_E07_P001892_A00_B00E_R1.RAW,PXD005946
865,deep proteome of 9 cell lines,P003814,,00522_F11_P003814_B0N_A00_R1.RAW,NCI-H460 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,000228_E05_P001357_B00A_A00_R1.RAW,PXD005946
866,deep proteome of 9 cell lines,P003814,,00522_H11_P003814_B0P_A00_R1.RAW,NCI-H460 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00287_C04_P001749_B00C_A00_R1.RAW,PXD005946
867,deep proteome of 9 cell lines,P003814,,00522_G12_P003814_B0W_A00_R1.RAW,NCI-H460 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00442_C08_P003207_B00K_A00_R1.RAW,PXD005946
868,deep proteome of 9 cell lines,P003814,,00522_B12_P003814_B0R_A00_R1.RAW,NCI-H460 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,000228_G09_P001355_B00K_A00_R1.RAW,PXD005946
869,deep proteome of 9 cell lines,P003814,,00522_E10_P003814_B0E_A00_R1.RAW,NCI-H460 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00463_D01_P003360_B00D_A00_R1.RAW,PXD005946
870,deep proteome of 9 cell lines,P003814,,00522_A12_P003814_B0Q_A00_R1.RAW,NCI-H460 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,000287_C02_P0001751_A00_B00K_R1.RAW,PXD005946
871,deep proteome of 9 cell lines,P003814,,00522_D11_P003814_B0L_A00_R1.RAW,NCI-H460 cell,PXD005940,AC=MS:1001910;NM=LTQ Orbitrap Elite,,00296_A02_P001904_B00I_A00_R1.RAW,PXD005946
