Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[ancestry category]	Characteristics[sex]	Characteristics[age]	Characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[developmental stage]
Sample 2	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	fetal	normal	not available	not available	not available	1	tissue	run 11	proteomic profiling by mass spectrometry	S8073TQ_11.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_11.raw	1	11	TMT127N	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	fetal
Sample 3	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	fetal	normal	not available	not available	not available	1	tissue	run 11	proteomic profiling by mass spectrometry	S8073TQ_11.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_11.raw	1	11	TMT127C	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	fetal
Sample 4	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	fetal	normal	not available	not available	not available	1	tissue	run 11	proteomic profiling by mass spectrometry	S8073TQ_11.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_11.raw	1	11	TMT128N	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	fetal
Sample 5	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	fetal	normal	not available	not available	not available	1	tissue	run 11	proteomic profiling by mass spectrometry	S8073TQ_11.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_11.raw	1	11	TMT128C	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	fetal
Sample 6	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	geriatric	Intervertebral disc degeneration	not available	not available	not available	1	tissue	run 11	proteomic profiling by mass spectrometry	S8073TQ_11.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_11.raw	1	11	TMT129N	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	geriatric
Sample 7	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	geriatric	Intervertebral disc degeneration	not available	not available	not available	1	tissue	run 11	proteomic profiling by mass spectrometry	S8073TQ_11.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_11.raw	1	11	TMT129C	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	geriatric
Sample 8	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	geriatric	Intervertebral disc degeneration	not available	not available	not available	1	tissue	run 11	proteomic profiling by mass spectrometry	S8073TQ_11.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_11.raw	1	11	TMT130N	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	geriatric
Sample 9	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	geriatric	Intervertebral disc degeneration	not available	not available	not available	1	tissue	run 11	proteomic profiling by mass spectrometry	S8073TQ_11.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_11.raw	1	11	TMT130C	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	geriatric
Sample 10	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	geriatric	Intervertebral disc degeneration	not available	not available	not available	1	tissue	run 11	proteomic profiling by mass spectrometry	S8073TQ_11.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_11.raw	1	11	TMT131	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	geriatric
Sample 1	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	fetal	normal	not available	not available	not available	1	tissue	run 12	proteomic profiling by mass spectrometry	S8073TQ_12.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_12.raw	1	12	TMT126	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	fetal
Sample 2	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	fetal	normal	not available	not available	not available	1	tissue	run 12	proteomic profiling by mass spectrometry	S8073TQ_12.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_12.raw	1	12	TMT127N	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	fetal
Sample 3	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	fetal	normal	not available	not available	not available	1	tissue	run 12	proteomic profiling by mass spectrometry	S8073TQ_12.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_12.raw	1	12	TMT127C	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	fetal
Sample 4	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	fetal	normal	not available	not available	not available	1	tissue	run 12	proteomic profiling by mass spectrometry	S8073TQ_12.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_12.raw	1	12	TMT128N	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	fetal
Sample 5	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	fetal	normal	not available	not available	not available	1	tissue	run 12	proteomic profiling by mass spectrometry	S8073TQ_12.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_12.raw	1	12	TMT128C	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	fetal
Sample 6	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	geriatric	Intervertebral disc degeneration	not available	not available	not available	1	tissue	run 12	proteomic profiling by mass spectrometry	S8073TQ_12.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_12.raw	1	12	TMT129N	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	geriatric
Sample 7	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	geriatric	Intervertebral disc degeneration	not available	not available	not available	1	tissue	run 12	proteomic profiling by mass spectrometry	S8073TQ_12.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_12.raw	1	12	TMT129C	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	geriatric
Sample 8	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	geriatric	Intervertebral disc degeneration	not available	not available	not available	1	tissue	run 12	proteomic profiling by mass spectrometry	S8073TQ_12.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_12.raw	1	12	TMT130N	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	geriatric
Sample 9	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	geriatric	Intervertebral disc degeneration	not available	not available	not available	1	tissue	run 12	proteomic profiling by mass spectrometry	S8073TQ_12.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_12.raw	1	12	TMT130C	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	geriatric
Sample 10	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	geriatric	Intervertebral disc degeneration	not available	not available	not available	1	tissue	run 12	proteomic profiling by mass spectrometry	S8073TQ_12.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_12.raw	1	12	TMT131	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	geriatric
Sample 1	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	fetal	normal	not available	not available	not available	1	tissue	run 13	proteomic profiling by mass spectrometry	S8073TQ_13.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_13.raw	1	13	TMT126	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	fetal
Sample 2	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	fetal	normal	not available	not available	not available	1	tissue	run 13	proteomic profiling by mass spectrometry	S8073TQ_13.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_13.raw	1	13	TMT127N	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	fetal
Sample 3	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	fetal	normal	not available	not available	not available	1	tissue	run 13	proteomic profiling by mass spectrometry	S8073TQ_13.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_13.raw	1	13	TMT127C	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	fetal
Sample 4	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	fetal	normal	not available	not available	not available	1	tissue	run 13	proteomic profiling by mass spectrometry	S8073TQ_13.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_13.raw	1	13	TMT128N	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	fetal
Sample 5	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	fetal	normal	not available	not available	not available	1	tissue	run 13	proteomic profiling by mass spectrometry	S8073TQ_13.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_13.raw	1	13	TMT128C	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	fetal
Sample 6	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	geriatric	Intervertebral disc degeneration	not available	not available	not available	1	tissue	run 13	proteomic profiling by mass spectrometry	S8073TQ_13.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_13.raw	1	13	TMT129N	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	geriatric
Sample 7	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	geriatric	Intervertebral disc degeneration	not available	not available	not available	1	tissue	run 13	proteomic profiling by mass spectrometry	S8073TQ_13.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_13.raw	1	13	TMT129C	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	geriatric
Sample 8	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	geriatric	Intervertebral disc degeneration	not available	not available	not available	1	tissue	run 13	proteomic profiling by mass spectrometry	S8073TQ_13.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_13.raw	1	13	TMT130N	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	geriatric
Sample 9	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	geriatric	Intervertebral disc degeneration	not available	not available	not available	1	tissue	run 13	proteomic profiling by mass spectrometry	S8073TQ_13.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_13.raw	1	13	TMT130C	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	geriatric
Sample 10	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	geriatric	Intervertebral disc degeneration	not available	not available	not available	1	tissue	run 13	proteomic profiling by mass spectrometry	S8073TQ_13.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_13.raw	1	13	TMT131	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	geriatric
Sample 1	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	fetal	normal	not available	not available	not available	1	tissue	run 14	proteomic profiling by mass spectrometry	S8073TQ_14.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_14.raw	1	14	TMT126	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	fetal
Sample 2	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	fetal	normal	not available	not available	not available	1	tissue	run 14	proteomic profiling by mass spectrometry	S8073TQ_14.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_14.raw	1	14	TMT127N	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	fetal
Sample 3	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	fetal	normal	not available	not available	not available	1	tissue	run 14	proteomic profiling by mass spectrometry	S8073TQ_14.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_14.raw	1	14	TMT127C	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	fetal
Sample 4	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	fetal	normal	not available	not available	not available	1	tissue	run 14	proteomic profiling by mass spectrometry	S8073TQ_14.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_14.raw	1	14	TMT128N	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	fetal
Sample 5	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	fetal	normal	not available	not available	not available	1	tissue	run 14	proteomic profiling by mass spectrometry	S8073TQ_14.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_14.raw	1	14	TMT128C	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	fetal
