Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[treatment]	Characteristics[disease]	Characteristics[ancestry category]	Characteristics[sex]	Characteristics[age]	Characteristics[biological replicate]	characteristics[enrichment process]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[cell line]	Factor Value[treatment]	Factor Value[enrichment process]
Sample 17	Homo sapiens	breast	epithelial cell	MDAMB231	adult	Starve (No FBS)	breast cancer	White	female	51Y	1	enrichment of phosphorylated Protein	cell	run 18	profiling by mass spectrometry	24H-Phos-Neg_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/24H-Phos-Neg_2.raw	1	2	TMT130	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	"NT=Phospho;MT=Fixed;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	MD-MB-231	Starve (No FBS)	enrichment of phosphorylated Protein
Sample 18	Homo sapiens	breast	epithelial cell	MDAMB231	adult	Starve (No FBS)	breast cancer	White	female	51Y	2	enrichment of phosphorylated Protein	cell	run 18	profiling by mass spectrometry	24H-Phos-Neg_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/24H-Phos-Neg_2.raw	1	2	TMT131	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	"NT=Phospho;MT=Fixed;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	MD-MB-231	Starve (No FBS)	enrichment of phosphorylated Protein
Sample 19	Homo sapiens	breast	epithelial cell	KAIMRC1	adult	Fed (With FBS)	breast cancer	Arab	female	62Y	1	enrichment of phosphorylated Protein	cell	run 19	profiling by mass spectrometry	24H-Phos-Pos_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/24H-Phos-Pos_1.raw	1	1	TMT126	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	"NT=Phospho;MT=Fixed;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	KAIMRC1	Fed (With FBS)	enrichment of phosphorylated Protein
Sample 20	Homo sapiens	breast	epithelial cell	KAIMRC1	adult	Fed (With FBS)	breast cancer	Arab	female	62Y	2	enrichment of phosphorylated Protein	cell	run 19	profiling by mass spectrometry	24H-Phos-Pos_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/24H-Phos-Pos_1.raw	1	1	TMT127	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	"NT=Phospho;MT=Fixed;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	KAIMRC1	Fed (With FBS)	enrichment of phosphorylated Protein
Sample 21	Homo sapiens	breast	epithelial cell	MCF7	adult	Fed (With FBS)	breast cancer	White	female	69Y	1	enrichment of phosphorylated Protein	cell	run 19	profiling by mass spectrometry	24H-Phos-Pos_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/24H-Phos-Pos_1.raw	1	1	TMT128	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	"NT=Phospho;MT=Fixed;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	MCF7	Fed (With FBS)	enrichment of phosphorylated Protein
Sample 22	Homo sapiens	breast	epithelial cell	MCF7	adult	Fed (With FBS)	breast cancer	White	female	69Y	2	enrichment of phosphorylated Protein	cell	run 19	profiling by mass spectrometry	24H-Phos-Pos_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/24H-Phos-Pos_1.raw	1	1	TMT129	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	"NT=Phospho;MT=Fixed;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	MCF7	Fed (With FBS)	enrichment of phosphorylated Protein
Sample 23	Homo sapiens	breast	epithelial cell	MDAMB231	adult	Fed (With FBS)	breast cancer	White	female	51Y	1	enrichment of phosphorylated Protein	cell	run 19	profiling by mass spectrometry	24H-Phos-Pos_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/24H-Phos-Pos_1.raw	1	1	TMT130	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	"NT=Phospho;MT=Fixed;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	MD-MB-231	Fed (With FBS)	enrichment of phosphorylated Protein
Sample 24	Homo sapiens	breast	epithelial cell	MDAMB231	adult	Fed (With FBS)	breast cancer	White	female	51Y	2	enrichment of phosphorylated Protein	cell	run 19	profiling by mass spectrometry	24H-Phos-Pos_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/24H-Phos-Pos_1.raw	1	1	TMT131	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	"NT=Phospho;MT=Fixed;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	MD-MB-231	Fed (With FBS)	enrichment of phosphorylated Protein
Sample 19	Homo sapiens	breast	epithelial cell	KAIMRC1	adult	Fed (With FBS)	breast cancer	Arab	female	62Y	1	enrichment of phosphorylated Protein	cell	run 20	profiling by mass spectrometry	24H-Phos-Pos_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/24H-Phos-Pos_2.raw	1	2	TMT126	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	"NT=Phospho;MT=Fixed;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	KAIMRC1	Fed (With FBS)	enrichment of phosphorylated Protein
Sample 20	Homo sapiens	breast	epithelial cell	KAIMRC1	adult	Fed (With FBS)	breast cancer	Arab	female	62Y	2	enrichment of phosphorylated Protein	cell	run 20	profiling by mass spectrometry	24H-Phos-Pos_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/24H-Phos-Pos_2.raw	1	2	TMT127	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	"NT=Phospho;MT=Fixed;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	KAIMRC1	Fed (With FBS)	enrichment of phosphorylated Protein
Sample 21	Homo sapiens	breast	epithelial cell	MCF7	adult	Fed (With FBS)	breast cancer	White	female	69Y	1	enrichment of phosphorylated Protein	cell	run 20	profiling by mass spectrometry	24H-Phos-Pos_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/24H-Phos-Pos_2.raw	1	2	TMT128	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	"NT=Phospho;MT=Fixed;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	MCF7	Fed (With FBS)	enrichment of phosphorylated Protein
Sample 22	Homo sapiens	breast	epithelial cell	MCF7	adult	Fed (With FBS)	breast cancer	White	female	69Y	2	enrichment of phosphorylated Protein	cell	run 20	profiling by mass spectrometry	24H-Phos-Pos_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/24H-Phos-Pos_2.raw	1	2	TMT129	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	"NT=Phospho;MT=Fixed;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	MCF7	Fed (With FBS)	enrichment of phosphorylated Protein
Sample 23	Homo sapiens	breast	epithelial cell	MDAMB231	adult	Fed (With FBS)	breast cancer	White	female	51Y	1	enrichment of phosphorylated Protein	cell	run 20	profiling by mass spectrometry	24H-Phos-Pos_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/24H-Phos-Pos_2.raw	1	2	TMT130	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	"NT=Phospho;MT=Fixed;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	MD-MB-231	Fed (With FBS)	enrichment of phosphorylated Protein
Sample 24	Homo sapiens	breast	epithelial cell	MDAMB231	adult	Fed (With FBS)	breast cancer	White	female	51Y	2	enrichment of phosphorylated Protein	cell	run 20	profiling by mass spectrometry	24H-Phos-Pos_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/24H-Phos-Pos_2.raw	1	2	TMT131	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	"NT=Phospho;MT=Fixed;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	MD-MB-231	Fed (With FBS)	enrichment of phosphorylated Protein
